R,G,B,Transparency,Distance
84,71,97,255,73.82998095066102
128,116,130,255,78.13861046244965
129,117,129,255,77.85996998692973
115,102,112,255,64.91988390925836
116,31,72,255,50.95750130398025
118,34,68,255,48.454234479956995
116,36,65,255,49.757444210631604
144,54,105,255,28.34800577038761
178,67,136,255,60.22975407282825
157,76,145,255,66.0951991626524
145,39,51,255,38.860229263070174
160,45,58,255,28.60684726037042
156,40,51,255,36.83707987235342
156,45,51,255,34.05604063894361
159,51,51,255,31.651999111767754
167,61,61,255,22.619373449016795
150,40,41,255,45.53334692825832
179,67,66,255,28.049235121520464
172,22,31,255,65.81169490460263
187,32,40,255,59.516182600435
208,66,65,255,54.93604817020805
201,85,86,255,51.28783707673681
185,61,71,255,31.077529487374836
154,26,41,255,53.5177979000799
167,23,50,255,50.944510896428795
213,70,98,255,60.73985850266394
179,45,82,255,29.26004839748033
125,113,137,255,81.90861069979324
125,113,125,255,74.12215585908439
131,117,130,255,77.83851320710833
111,98,108,255,63.36016405932345
109,31,70,255,56.87464735798452
117,36,69,255,47.86424999896103
120,41,70,255,42.552282642667784
116,42,65,255,46.87446420972933
119,31,81,255,47.95294391921054
171,62,129,255,51.06485107999891
157,69,130,255,50.10924440375153
151,41,54,255,34.13550108542156
159,45,55,255,30.877377042967264
153,40,46,255,41.001561775201175
159,49,50,255,33.323682136212526
165,57,57,255,25.80640334339804
159,51,51,255,31.651999111767754
148,34,34,255,54.78823843856021
194,86,83,255,45.418340112683204
205,62,68,255,51.12536801211426
178,29,35,255,60.608427872157336
179,39,40,255,52.21585468175555
177,58,64,255,27.436076462348094
168,42,56,255,34.085469467428645
142,9,30,255,74.4937064895907
146,4,30,255,77.55836207015058
192,49,77,255,39.06284028070464
190,58,95,255,37.802091774834764
127,115,129,255,77.17915658201149
129,115,128,255,75.83398756302863
125,111,124,255,72.15755492353091
97,84,94,255,63.79833155764488
113,38,69,255,50.13275513302871
114,38,66,255,50.067645995861184
114,40,65,255,49.433416625742595
111,42,63,255,51.78502972252117
151,50,110,255,32.342042718689974
179,61,135,255,59.51617365360106
154,71,141,255,61.27098328588559
125,35,89,255,41.700798661496925
133,29,46,255,52.789384560901425
149,37,51,255,39.24042187736008
167,51,60,255,25.994331647559157
153,38,43,255,44.601110506589116
158,48,47,255,36.37251440160389
166,58,56,255,26.916592185588758
150,44,44,255,41.0401275858822
173,59,59,255,27.879327977831917
185,46,51,255,44.74823972308271
169,31,31,255,59.98061681813744
183,53,51,255,41.35178900026147
196,83,87,255,46.09241141038709
179,59,69,255,26.399653397886407
149,18,36,255,62.97100483815752
172,27,56,255,45.93603757730774
211,74,100,255,60.13050464425201
124,110,133,255,77.70541334356197
131,117,130,255,77.83851320710833
127,113,126,255,73.93749523162101
114,100,113,255,64.84975061889277
112,40,64,255,51.42959719234306
122,28,80,255,47.813783441200044
169,60,125,255,46.702149782533766
179,58,137,255,61.489483726948826
160,70,140,255,60.3039537066093
165,74,144,255,65.41296077649831
132,25,41,255,59.01709338727301
168,52,63,255,23.774214288252367
156,39,45,255,42.31948138435012
155,43,42,255,42.921719069710406
162,54,52,255,30.27246269661751
155,54,50,255,31.4719012877844
148,29,31,255,59.968124794163124
204,86,86,255,54.40251763751962
209,83,84,255,57.606236127198876
172,39,40,255,49.44736399470459
164,32,30,255,59.371380890607625
213,88,84,255,63.21512921879021
193,88,84,255,45.738377840887146
158,32,46,255,45.84339522654285
147,9,32,255,72.407447117987
160,18,44,255,57.44199515241241
196,59,85,255,40.992366050222266
130,116,129,255,76.82326408062457
126,112,125,255,73.0324103863085
112,98,111,255,64.04256152551196
143,44,99,255,28.848771268147463
171,60,129,255,51.11244110420449
161,65,137,255,56.96665182813803
159,69,121,255,41.34194990562552
141,31,44,255,50.05027563795047
162,47,54,255,31.159732347628076
158,43,46,255,39.469893297947046
156,46,45,255,38.9219646897646
153,54,49,255,32.52416576548064
134,36,33,255,58.221449884772575
172,49,52,255,35.435225758490084
179,51,52,255,38.577795153018506
165,31,32,255,58.37026297201374
178,44,45,255,45.764075924412985
186,66,75,255,31.302387498508963
148,17,35,255,64.4850929753184
149,11,34,255,69.3893281904911
177,41,65,255,33.96048345478523
117,104,124,255,71.5756282544444
124,112,124,255,73.2603150068753
97,85,97,255,64.85003800328882
110,39,69,255,52.2421173396444
112,25,70,255,58.10280866459817
160,60,120,255,39.94999877852233
175,63,137,255,59.92469765096375
180,60,147,255,71.05448910219019
167,67,140,255,60.92876526307376
158,60,133,255,52.732887849774414
121,33,83,255,45.20536803414558
147,36,45,255,44.82592357964475
161,46,51,255,34.0208896526145
158,46,45,255,39.00429041496001
155,54,52,255,29.546037358615333
149,51,48,255,34.857434516356506
203,83,84,255,52.06949619837719
205,83,82,255,53.80669119066353
171,36,40,255,50.60758903569344
169,29,32,255,60.239363294749914
207,73,74,255,53.10308314662746
148,26,37,255,56.99064115998981
159,26,47,255,49.382752956046154
206,70,94,255,52.98019659216956
112,98,121,255,69.3821911688599
124,112,126,255,74.46852696163155
120,108,120,255,70.13553177769026
131,41,92,255,34.356169538592795
162,57,123,255,43.444715409041706
179,60,140,255,64.16249386200141
151,55,127,255,47.38140012273069
165,74,144,255,65.41296077649831
153,40,46,255,41.001561775201175
161,45,48,255,37.09609970423514
155,46,49,255,35.32261560865713
157,55,56,255,25.474062397134333
128,32,33,255,62.5157296999077
172,52,54,255,32.80013792305372
211,89,88,255,62.18746998100362
192,57,63,255,40.85389505374098
178,33,40,255,54.72545725564569
177,37,40,255,52.277555073771964
