id,aqi,lan,lng,time,tz
446,166,39.929,116.417,1492128000,+08:00
447,152,39.886,116.407,1492124400,+08:00
448,152,39.929,116.339,1492128000,+08:00
449,155,39.878,116.352,1492124400,+08:00
450,154,39.982,116.397,1492128000,+08:00
451,162,39.937,116.461,1492128000,+08:00
452,153,39.987,116.287,1492128000,+08:00
453,164,40.09,116.174,1492128000,+08:00
454,137,40.002,116.207,1492128000,+08:00
455,161,39.863,116.279,1492128000,+08:00
456,155,39.824,116.146,1492128000,+08:00
457,161,39.914,116.184,1492128000,+08:00
458,164,39.742,116.136,1492128000,+08:00
459,165,39.718,116.404,1492128000,+08:00
460,174,39.795,116.506,1492128000,+08:00
461,173,39.886,116.663,1492128000,+08:00
462,161,40.127,116.655,1492128000,+08:00
463,158,40.217,116.23,1492128000,+08:00
464,152,39.937,116.106,1492128000,+08:00
465,173,40.143,117.1,1492128000,+08:00
466,158,40.328,116.628,1492128000,+08:00
467,163,40.37,116.832,1492128000,+08:00
468,74,40.453,115.972,1492128000,+08:00
469,129,40.292,116.22,1492128000,+08:00
470,76,40.365,115.988,1492128000,+08:00
471,157,40.499,116.911,1492128000,+08:00
472,172,40.1,117.12,1492128000,+08:00
473,176,39.712,116.783,1492128000,+08:00
474,159,39.52,116.3,1492128000,+08:00
475,168,39.58,116.0,1492128000,+08:00
476,159,39.899,116.395,1492128000,+08:00
477,164,39.876,116.394,1492128000,+08:00
478,152,39.954,116.349,1492128000,+08:00
479,172,39.856,116.368,1492128000,+08:00
480,165,39.939,116.483,1492128000,+08:00
481,57,31.234814,121.410728,1492124400,+08:00
482,63,31.2659,121.536,1492124400,+08:00
483,68,31.201014,121.483231,1492124400,+08:00
484,76,31.0935,120.978,1492124400,+08:00
485,63,31.3008,121.467,1492124400,+08:00
486,63,31.2261,121.425,1492124400,+08:00
487,53,31.1654,121.412,1492124400,+08:00
488,68,31.1907,121.703,1492124400,+08:00
489,61,31.2071,121.577,1492124400,+08:00
490,57,31.2284,121.533,1492124400,+08:00
491,60,31.230393,121.473704,1492120800,+08:00
496,162,41.7832349,123.4267266,1492128000,+08:00
497,97,36.66222222,117.0486111,1492128000,+08:00
498,74,36.63777778,117.0688889,1492128000,+08:00
499,77,36.66138889,117.0211111,1492128000,+08:00
500,65,36.61138889,116.9880556,1492128000,+08:00
501,68,36.59277778,117.0241667,1492128000,+08:00
502,80,36.663,116.945,1492128000,+08:00
504,102,36.70027778,116.9477778,1492128000,+08:00
505,89,36.68722222,116.9886111,1492124400,+08:00
506,80,36.68527778,117.0602778,1492128000,+08:00
507,122,36.68138889,117.1858333,1492128000,+08:00
508,139,36.72256667,117.1247222,1492124400,+08:00
509,59,36.4785,117.2130556,1492128000,+08:00
510,72,36.54861111,116.7651667,1492128000,+08:00
511,235,36.68538889,117.1247222,1491656400,+08:00
517,79,35.970289,120.155109,1492128000,+08:00
519,158,36.240156,120.660697,1492128000,+08:00
520,107,36.090925,120.48547,1492128000,+08:00
522,129,36.154078,120.427178,1492128000,+08:00
524,86,36.308156,120.460772,1492128000,+08:00
526,72,36.66555556,117.9233333,1492128000,+08:00
527,66,36.80833333,118.0422222,1492128000,+08:00
528,122,36.83805556,118.0447222,1492128000,+08:00
529,127,36.84333333,118.0175,1492128000,+08:00
530,95,36.80305556,118.0244444,1492128000,+08:00
531,72,36.49722222,117.8477778,1492128000,+08:00
532,55,36.45972222,117.8702778,1492128000,+08:00
533,109,36.81972222,118.3091667,1492124400,+08:00
534,49,36.76555556,118.2491667,1492128000,+08:00
535,97,36.80416667,117.8511111,1492128000,+08:00
536,114,36.825,117.9205556,1492128000,+08:00
537,117,36.90472222,118.0158333,1492124400,+08:00
538,61,34.85138889,117.5638889,1492128000,+08:00
539,55,34.82,117.5897222,1492128000,+08:00
540,61,34.79111111,117.2666667,1492128000,+08:00
541,52,34.77388889,117.5708333,1492124400,+08:00
542,134,34.58055556,117.7352778,1492124400,+08:00
543,53,35.07083333,117.4516667,1492128000,+08:00
544,78,34.81027778,117.3147222,1492128000,+08:00
545,63,34.8225,117.3575,1492128000,+08:00
546,132,37.43138889,118.6672222,1492128000,+08:00
548,134,37.43805556,118.625,1492128000,+08:00
549,144,37.44166667,118.5044444,1492128000,+08:00
550,151,37.44444444,118.5527778,1492128000,+08:00
551,147,37.46583333,118.5022222,1492128000,+08:00
552,149,37.47222222,118.6408333,1492128000,+08:00
553,154,37.88305556,118.5163889,1492128000,+08:00
554,139,37.43444444,118.6961111,1492124400,+08:00
555,93,37.54311096,121.371706,1492128000,+08:00
557,63,37.52368316,121.3553673,1492128000,+08:00
558,49,37.47141415,121.2550926,1492128000,+08:00
559,119,37.37605485,121.5817255,1492128000,+08:00
560,59,37.47743887,121.4430704,1492128000,+08:00
561,70,37.42609554,121.4031242,1492128000,+08:00
562,72,37.42276743,121.5068398,1492128000,+08:00
563,97,37.5599778,121.2529217,1492128000,+08:00
564,72,37.60240665,121.1421659,1492128000,+08:00
565,117,37.67283315,121.0662505,1492124400,+08:00
566,95,36.73055556,119.0919444,1492128000,+08:00
567,82,36.71955556,119.0481667,1492128000,+08:00
568,65,36.68194444,119.0999444,1492128000,+08:00
569,85,36.77305556,119.1938889,1492128000,+08:00
570,82,36.65722222,119.1613889,1492128000,+08:00
571,70,36.70083333,119.1625,1492128000,+08:00
572,97,36.70194444,119.14,1492128000,+08:00
573,89,36.64111111,119.1108333,1492128000,+08:00
574,72,36.77305556,119.1095667,1492128000,+08:00
575,57,35.40888889,116.6186111,1492128000,+08:00
576,59,35.42505556,116.6936111,1492128000,+08:00
577,102,35.36477778,116.6038889,1490698800,+08:00
578,55,35.39088889,116.5476111,1492128000,+08:00
579,161,35.39088889,116.6576111,1489838400,+08:00
580,59,35.44277778,116.5963889,1492128000,+08:00
581,74,35.43677778,116.6376111,1492128000,+08:00
582,29,36.19416667,117.1536111,1492128000,+08:00
583,55,36.17583333,117.1180556,1492128000,+08:00
584,53,36.19416667,117.0980556,1492124400,+08:00
585,72,36.20472222,117.1841667,1492128000,+08:00
586,65,36.17,117.1591667,1492128000,+08:00
587,65,36.20194444,117.0411111,1492128000,+08:00
588,57,36.11638889,117.1013889,1492124400,+08:00
589,63,37.51292649,122.0620045,1492128000,+08:00
590,117,37.32453537,122.1558142,1492128000,+08:00
591,53,37.51363425,122.1412574,1492128000,+08:00
592,71,37.48458826,122.0444208,1492128000,+08:00
593,72,37.53392123,122.0512579,1492128000,+08:00
594,76,37.42694682,122.1257714,1492128000,+08:00
595,85,35.40777778,119.5205556,1492124400,+08:00
597,109,35.38888889,119.4908333,1492128000,+08:00
598,127,35.4625,119.5688889,1492128000,+08:00
599,124,35.44222222,119.5327778,1492128000,+08:00
600,134,35.29361111,119.34,1492128000,+08:00
601,144,35.37361111,119.5086111,1492128000,+08:00
602,50,36.205,117.695,1492128000,+08:00
604,91,36.26611111,117.6469444,1492128000,+08:00
605,80,36.245,117.7330556,1492128000,+08:00
606,59,36.20805556,117.725,1492128000,+08:00
607,32,36.06694444,117.8661111,1492128000,+08:00
608,80,35.06222222,118.2938889,1492128000,+08:00
609,76,35.05722222,118.3416667,1492128000,+08:00
610,138,35.11527778,118.2877778,1492128000,+08:00
611,102,35.10527778,118.3477778,1492128000,+08:00
612,76,34.98166667,118.2763889,1492128000,+08:00
613,122,34.99944444,118.2516667,1492124400,+08:00
614,73,35.08972222,118.4023333,1492128000,+08:00
615,152,35.01055556,118.43,1492128000,+08:00
616,139,37.46527778,116.3083333,1492124400,+08:00
618,59,37.43222222,116.3713889,1492128000,+08:00
619,57,37.44888889,116.3188889,1492128000,+08:00
620,52,37.46194444,116.3516667,1492128000,+08:00
621,50,37.47805556,116.3105556,1492124400,+08:00
622,89,36.44444444,115.9661111,1492128000,+08:00
623,80,36.45666667,115.9966667,1492128000,+08:00
624,102,36.47944444,115.9836111,1492128000,+08:00
625,87,36.43194444,115.9513889,1492128000,+08:00
626,80,36.47111111,115.9547222,1492128000,+08:00
627,76,36.45916667,116.0377778,1492128000,+08:00
628,160,37.37944444,118.0208333,1492128000,+08:00
629,149,37.38305556,117.9830556,1492128000,+08:00
630,153,37.36083333,117.9966667,1492128000,+08:00
631,155,37.39555556,117.9377778,1492128000,+08:00
632,152,37.35555556,117.9375,1492128000,+08:00
633,151,37.3675,117.9730556,1492128000,+08:00
634,80,35.24888889,115.4227778,1492128000,+08:00
635,99,35.22305556,115.5258333,1492128000,+08:00
636,82,35.2375,115.4747222,1492128000,+08:00
637,82,35.24361111,115.4086111,1492128000,+08:00
638,70,35.26194444,115.5191667,1492128000,+08:00
639,87,35.27,115.455,1492128000,+08:00
640,72,36.22888889,117.6888889,1492128000,+08:00
641,139,38.031,114.542,1492124400,+08:00
642,153,38.012,114.467,1492124400,+08:00
644,153,38.051,114.455,1492124400,+08:00
645,163,38.052,114.521,1492124400,+08:00
646,152,38.14,114.502,1492124400,+08:00
647,147,38.04,114.605,1492124400,+08:00
648,95,37.91,114.354,1492124400,+08:00
650,218,39.668,118.219,1492124400,+08:00
652,195,39.641,118.185,1492124400,+08:00
653,192,39.643,118.144,1492124400,+08:00
654,230,39.631,118.166,1492124400,+08:00
655,89,39.957,119.602,1492124400,+08:00
656,74,39.828,119.526,1492124400,+08:00
657,57,40.018,119.762,1492124400,+08:00
658,85,39.942,119.537,1492124400,+08:00
659,85,39.936,119.607,1492124400,+08:00
660,167,36.62,114.496,1492124400,+08:00
661,155,36.618,114.513,1492124400,+08:00
662,170,36.616,114.543,1492124400,+08:00
663,165,36.578,114.504,1492124400,+08:00
664,142,37.096,114.533,1492124400,+08:00
665,169,37.097,114.482,1492124400,+08:00
666,171,37.053,114.526,1492124400,+08:00
667,172,37.062,114.485,1492124400,+08:00
668,97,38.871,115.521,1492124400,+08:00
669,172,38.842,115.461,1492124400,+08:00
670,114,38.896,115.522,1492124400,+08:00
671,122,38.911,115.471,1492124400,+08:00
672,93,38.876,115.442,1492124400,+08:00
673,134,38.863,115.493,1492124400,+08:00
674,87,40.769,114.903,1492124400,+08:00
675,119,40.873,114.904,1492124400,+08:00
676,78,40.837,114.898,1492124400,+08:00
677,57,40.811,114.881,1492124400,+08:00
678,93,40.795,114.892,1492124400,+08:00
679,95,40.916,117.966,1492124400,+08:00
680,142,40.973,117.818,1492124400,+08:00
681,129,40.984,117.952,1492124400,+08:00
682,151,40.936,117.963,1492124400,+08:00
683,117,41.011,117.938,1492124400,+08:00
684,165,38.323,116.871,1492124400,+08:00
685,185,38.299,116.885,1492124400,+08:00
686,167,38.325,116.858,1492124400,+08:00
687,161,39.557,116.715,1482782400,+08:00
688,174,39.518,116.684,1492124400,+08:00
689,155,39.575,116.773,1492124400,+08:00
690,173,39.534,116.737,1492124400,+08:00
691,127,37.739,115.69,1492124400,+08:00
692,112,37.738,115.643,1492124400,+08:00
693,74,37.758,115.695,1492124400,+08:00
695,225,39.17295,117.1933667,1480078800,+08:00
696,159,39.16543333,117.1446333,1492128000,+08:00
698,162,39.11083,117.2452,1492128000,+08:00
699,164,39.0927,117.2016833,1492128000,+08:00
700,165,39.22605,117.18495,1492128000,+08:00
702,163,39.08714,117.3145,1492128000,+08:00
704,167,39.03431667,117.70715,1492128000,+08:00
705,185,38.83945,117.45735,1492128000,+08:00
707,163,38.98458333,117.3747333,1492128000,+08:00
708,172,39.02096667,117.6503,1492128000,+08:00
709,164,39.24735,117.7917667,1492128000,+08:00
711,235,39.37261667,117.0439833,1478797200,+08:00
712,184,40.04175,117.4444167,1492128000,+08:00
713,163,38.91943333,117.1566333,1492128000,+08:00
714,171,39.32815,117.8165667,1492128000,+08:00
716,232,39.07846667,117.0901667,1492102800,+08:00
717,176,39.15106667,117.3747667,1492128000,+08:00
718,167,39.15875,117.7641667,1492128000,+08:00
719,171,38.84516667,116.7794167,1492128000,+08:00
720,185,39.51626667,117.3431167,1492128000,+08:00
721,82,30.246,120.128,1492124400,+08:00
722,158,30.288,120.171,1492124400,+08:00
723,102,30.21,120.210833,1492124400,+08:00
724,158,30.31194444,120.1197222,1492124400,+08:00
725,137,30.268,120.193,1492124400,+08:00
726,85,30.30583333,120.3480556,1492124400,+08:00
727,93,30.18083333,120.0883333,1492124400,+08:00
728,104,30.27472222,120.0633333,1492124400,+08:00
729,109,30.18194444,120.2697222,1492124400,+08:00
730,78,29.640581,119.025965,1492124400,+08:00
731,95,30.418333,120.300556,1492124400,+08:00
732,114,30.051,119.9589,1492120800,+08:00
736,63,28.013044,120.675116,1492124400,+08:00
737,78,28.005239,120.638037,1492124400,+08:00
738,66,27.971359,120.764294,1492124400,+08:00
739,93,27.985079,120.679665,1492120800,+08:00
740,68,30.75666667,120.7630556,1492120800,+08:00
741,67,30.747405,120.730691,1492124400,+08:00
742,72,30.777969,120.743647,1492124400,+08:00
745,127,30.864437,120.079708,1492124400,+08:00
746,57,29.993049,120.643444,1492120800,+08:00
748,53,29.989283,120.609511,1492124400,+08:00
749,82,30.078374,120.617462,1492124400,+08:00
750,53,29.933613,120.573047,1492120800,+08:00
753,102,29.728868,120.217123,1492120800,+08:00
754,117,29.102917,119.685611,1492124400,+08:00
755,65,29.077,119.6474167,1492124400,+08:00
756,177,29.11305556,119.6489444,1482562800,+08:00
759,129,28.94041667,118.8713056,1492124400,+08:00
760,147,28.964613,118.876145,1492124400,+08:00
761,144,28.97452778,118.85525,1492124400,+08:00
762,48,29.99444444,122.1897222,1492124400,+08:00
763,53,29.95378,122.3135,1492124400,+08:00
764,55,30.02027778,122.1222222,1492124400,+08:00
765,91,28.654166,121.41888,1492124400,+08:00
766,124,28.57736111,121.3767778,1492124400,+08:00
