hot,lat,lng
3,21.486813641,109.149492855
3,21.486813641,109.149492855
2,26.687651554,118.497269516
4,29.701896238,122.202943367
4,29.701896238,122.202943367
4,29.701896238,122.202943367
2,29.911447238,122.402068404
12,29.977511614,122.330407355
12,29.977511614,122.330407355
12,29.977511614,122.330407355
12,29.977511614,122.330407355
12,29.977511614,122.330407355
12,29.977511614,122.330407355
12,29.977511614,122.330407355
12,29.977511614,122.330407355
12,29.977511614,122.330407355
12,29.977511614,122.330407355
12,29.977511614,122.330407355
57,30.718246513,121.355202133
60,30.721789079,121.347101256
59,30.730339792,121.324875133
59,30.730339792,121.324875133
59,30.732966036,121.322025822
59,30.732966036,121.322025822
59,30.732988326,121.322091771
59,30.732988326,121.322091771
60,30.733763445,121.325557234
60,30.734030505,121.325553484
60,30.734915631,121.329731595
60,30.735183284,121.332260741
60,30.735391802,121.328091993
61,30.736500254,121.321674462
56,30.736877021,121.311526761
62,30.737867672,121.332958148
62,30.740192678,121.348225404
63,30.742456692,121.320242065
63,30.742456692,121.320242065
60,30.744414595,121.361880429
60,30.744414595,121.361880429
63,30.745458328,121.317777422
60,30.746991034,121.364860185
60,30.746991034,121.364860185
60,30.746991034,121.364860185
60,30.746991034,121.364860185
65,30.748144071,121.348450064
63,30.749039629,121.320253538
63,30.749039629,121.320253538
63,30.749039629,121.320253538
62,30.749158523,121.326336794
64,30.7499371,121.31896404
64,30.749961925,121.316877405
52,30.75058999,121.30308833
52,30.75058999,121.30308833
52,30.75058999,121.30308833
63,30.75160112,121.325331702
63,30.75160112,121.325331702
63,30.75160112,121.325331702
63,30.752042048,121.345343187
63,30.755455321,121.323409267
63,30.755507203,121.320810086
63,30.755507203,121.320810086
63,30.755507203,121.320810086
63,30.755507203,121.320810086
63,30.755507203,121.320810086
65,30.757006833,121.341189245
65,30.757918171,121.342407403
62,30.758428859,121.359323659
62,30.758428859,121.359323659
62,30.758428859,121.359323659
62,30.758428859,121.359323659
65,30.760315325,121.341739692
67,30.762056544,121.351731672
67,30.762056544,121.351731672
62,30.762685895,121.357030673
30,30.764422133,121.382386409
65,30.767010441,121.340386628
67,30.76778981,121.349689744
19,30.777514097,121.270312581
44,30.783513289,121.299578698
54,30.785742939,121.335245943
33,30.789263592,121.27983537
21,30.7926401,121.397880736
21,30.7926401,121.397880736
21,30.7926401,121.397880736
6,30.799134549,121.178671137
38,30.799380154,121.316844709
21,30.805507495,121.303915328
21,30.805507495,121.303915328
8,30.820139829,121.146283587
8,30.820139829,121.146283587
7,30.820992177,121.415537866
7,30.829798587,121.520874311
19,30.83431398,121.307479166
19,30.83431398,121.307479166
8,30.834355661,121.24859364
8,30.834355661,121.24859364
8,30.835634707,121.246289355
17,30.839877667,121.337316761
8,30.840385315,121.172315636
8,30.840385315,121.172315636
5,30.848350008,121.055213672
19,30.852597012,121.31129937
19,30.852597012,121.31129937
19,30.852597012,121.31129937
14,30.85327867,121.366992478
14,30.85327867,121.366992478
17,30.854791516,121.519461154
17,30.858068319,121.298889857
17,30.858068319,121.298889857
18,30.86040328,121.349959175
19,30.862373382,121.856063714
20,30.863802161,121.344508201
9,30.863807751,121.113128268
